"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Category   ",32,9164.06541241297,286.377044137905,24.7305035544706,2.39319086858467e-137
"Residuals  ",6993,80978.3215794792,11.5799115657771,NA,NA
