Category,mean_log_installs
ENTERTAINMENT,14.369129201472097
GAME,13.298262754254305
EDUCATION,13.121476491976122
WEATHER,12.746522325713356
PHOTOGRAPHY,12.735378398688658
SHOPPING,12.586071885743381
HOUSE_AND_HOME,12.45632488898013
VIDEO_PLAYERS,12.32456162869839
FOOD_AND_DRINK,12.238810035044983
SPORTS,11.749551630410465
