Estimate,Std. Error,t value,Pr(>|t|),Feature
7.820949086733692,0.20205448375674143,38.70712958861895,3.956088544242802e-297,(Intercept)
-0.2714180471540546,0.1917378605387295,-1.4155683514536261,0.1569464941889197,CategoryAUTO_AND_VEHICLES
0.1519300160364747,0.22187210074288616,0.6847639497159537,0.4935156013747487,CategoryBEAUTY
-0.4622220450609793,0.1642290562108903,-2.814496141702412,0.004899041346976202,CategoryBOOKS_AND_REFERENCE
-0.6974202572720501,0.15520506984317875,-4.493540436383507,7.117691583411361e-6,CategoryBUSINESS
-0.6910470553330545,0.20700386782871158,-3.338329194432597,8.47245870179136e-4,CategoryCOMICS
-0.729718014082693,0.15837265380050744,-4.607601101398952,4.145677469928676e-6,CategoryCOMMUNICATION
-0.8812894414854036,0.1680644312701387,-5.243759401231431,1.619537744291232e-7,CategoryDATING
-0.4038617302837354,0.17840162843095023,-2.263778272853876,0.023618288924007098,CategoryEDUCATION
-0.5758709494358938,0.19157791277725716,-3.0059360240835513,0.0026570541356485803,CategoryENTERTAINMENT
-0.477871956902825,0.22013006546854566,-2.170861830643975,0.029975175222653166,CategoryEVENTS
-0.691411606984517,0.1407605402634319,-4.911970398028789,9.221538278836208e-7,CategoryFAMILY
-0.8223633919104489,0.15294880393248525,-5.376723261421888,7.830905097118172e-8,CategoryFINANCE
-0.4196811186221853,0.18596634428285447,-2.256758448635475,0.024053937622327205,CategoryFOOD_AND_DRINK
-0.9644537370543418,0.14354963494283576,-6.718608078929674,1.97912950114567e-11,CategoryGAME
-0.7325779270261191,0.15769460396131435,-4.645548475494032,3.4538512156002552e-6,CategoryHEALTH_AND_FITNESS
-0.15701914224776828,0.20358573123494897,-0.7712679139902967,0.4405742280922105,CategoryHOUSE_AND_HOME
-0.09141797954571418,0.19614354693240274,-0.4660769165004429,0.6411749746387794,CategoryLIBRARIES_AND_DEMO
-0.5329797530896192,0.15239601080428855,-3.49733401994418,4.728557374676229e-4,CategoryLIFESTYLE
-0.737403718172287,0.1759729960237517,-4.1904367990231695,2.8184815874596893e-5,CategoryMAPS_AND_NAVIGATION
-0.7354047298168525,0.15260142177593242,-4.819121088509,1.4723564336008516e-6,CategoryMEDICAL
-0.76338886421694,0.16211194024150002,-4.70902305579534,2.537106364826742e-6,CategoryNEWS_AND_MAGAZINES
0.13818567485308164,0.21072992502486268,0.6557477531336757,0.5120080293017462,CategoryPARENTING
-0.711405255537925,0.15219952290351313,-4.674162191618171,3.0069083476561107e-6,CategoryPERSONALIZATION
-0.496048959134091,0.15687340836099423,-3.1620971604861943,0.0015730751023572563,CategoryPHOTOGRAPHY
-0.6587915575203125,0.15523452028085302,-4.24384702789312,2.225615308902539e-5,CategoryPRODUCTIVITY
-0.5263544847703815,0.16349122507817876,-3.219466271163407,0.001290166806862438,CategorySHOPPING
-0.9060671269132904,0.161903672097157,-5.596334630196449,2.2722850618663616e-8,CategorySOCIAL
-0.928469372428269,0.15526243519162214,-5.980000064293521,2.34138487002975e-9,CategorySPORTS
-0.5153792410503222,0.14461130900888722,-3.563893063291814,3.678335311556892e-4,CategoryTOOLS
-0.38730206484092566,0.16426060867108788,-2.357851148697808,0.018408468500398716,CategoryTRAVEL_AND_LOCAL
-0.3917410054551663,0.17071346987439234,-2.2947281532230686,0.0217782160144926,CategoryVIDEO_PLAYERS
-0.6221597118007568,0.20370396398817006,-3.0542346826244784,0.0022648534733340367,CategoryWEATHER
0.9780233564446816,0.003982023785996751,245.60962189226856,0,log_reviews
-0.614431857600276,0.02333302555514974,-26.333141244285276,8.626497515211631e-146,Rating
-0.004235390411358076,6.989503331816514e-4,-6.059644312748805,1.4351305230825825e-9,Price
8.944997333694669e-6,1.3586954953787413e-4,0.06583518797345551,0.9475109245913093,Size
0.8731421224832253,0.23990406397602937,3.639547025641331,2.7509035440001733e-4,Avg_Sentiment
-1.5665390613887832e-4,3.193400485200445e-5,-4.905551523051309,9.527233769158032e-7,days_since_update
